name,module_id,icon,slug,position,is_protected,static,status
Dashboard,1,"fa fa-dashboard",dashboard,1,1,1,1
Users,3,"fa fa-user",users,2,1,0,1
Roles,4,"fa fa-edit",roles,3,1,0,1
Permissions,5,"fa fa-check-square-o",permissions,4,1,0,1
Modules,6,"fa fa-database",modules,5,1,0,1
Languages,7,"fa fa-comments-o",languages,6,1,0,1
Pages,8,"fa fa-wpforms",pages,7,1,0,1
Menus,9,"fa fa-th",menus,8,1,0,1
"Contact us",10,"fa fa-mail-forward",contactus,9,1,0,1
Notifications,11,"fa fa-bell",notifications,10,1,0,1
Settings,12,"fa fa-gears",settings,11,0,0,1
Projects,13,"fa fa-product-hunt",projects,12,0,0,1
Descriptions,14,"fa fa-info-circle",descriptions,13,0,0,1
"Project Types",15,"fa fa-file-o",project-types,14,0,0,1
"Project Attributes",16,"fa fa-folder-open",project-attributes,15,0,0,1
Questions,17,"fa fa-glass",questions,16,0,0,1
Expertises,18,"fa fa-hand-o-left",expertises,17,0,0,1
Budgets,19,"fa fa-money",budgets,18,0,0,1
Categories,20,"fa fa-glass",categories,19,0,0,1
Orders,21,"fa fa-shopping-cart",orders,20,0,0,1
Customers,22,"fa fa-users",customers,21,0,0,1
