id,name,slug,table_name,icon,status,is_module,config,is_protected
1,"Admin Panel",adminpanel,-,"fa fa-dashboard",1,0,null,1
2,Dashboard,dashboard,-,"fa fa-dashboard",1,0,null,1
3,Users,users,users,"fa fa-user",1,1,null,1
4,Roles,roles,roles,"fa fa-edit",1,1,null,1
5,Permissions,permissions,permissions,"fa fa-check-square-o",1,1,null,1
6,Modules,modules,modules,"fa fa-database",1,1,null,1
7,Languages,languages,locales,"fa fa-comments-o",1,1,null,1
8,Page,pages,pages,"fa fa-wpforms",1,1,null,1
9,ContactUs,contactus,admin_queries,"fa fa-mail-forward",1,1,null,1
10,Notification,notifications,notifications,"fa fa-bell",1,1,null,1
11,Menu,menus,menus,"fa fa-th",1,1,null,1
